,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume
ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DRREDDY,EICHERMOT,ETERNAL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDUNILVR,ICICIBANK,INDIGO,INFY,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,MAXHEALTH,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,TRENT,ULTRACEMCO,WIPRO,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DRREDDY,EICHERMOT,ETERNAL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDUNILVR,ICICIBANK,INDIGO,INFY,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,MAXHEALTH,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,TRENT,ULTRACEMCO,WIPRO,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DRREDDY,EICHERMOT,ETERNAL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDUNILVR,ICICIBANK,INDIGO,INFY,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,MAXHEALTH,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,TRENT,ULTRACEMCO,WIPRO,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DRREDDY,EICHERMOT,ETERNAL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDUNILVR,ICICIBANK,INDIGO,INFY,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,MAXHEALTH,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,TRENT,ULTRACEMCO,WIPRO,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DRREDDY,EICHERMOT,ETERNAL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDUNILVR,ICICIBANK,INDIGO,INFY,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,MAXHEALTH,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,TRENT,ULTRACEMCO,WIPRO
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-02 00:00:00+05:30,2093.0,1462.0,7621.0,2300.0,1369.1,9725.5,1950.0,971.0,442.1,1850.1,1313.0,417.9,1252.6,7800.0,238.0,2729.8,1351.0,876.2,704.6,901.1,2303.0,1355.0,4500.0,1291.0,307.0,246.55,1253.2,410.0,4061.0,3299.9,14407.0,1056.5,1261.9,365.0,288.0,290.0,1375.5,2028.0,1185.0,1044.0,1712.0,1110.8,205.0,2592.0,1335.0,4288.8,358.0,3755.5,12375.0,195.0,2147.9,1497.3,7819.0,2337.9,1384.7,9941.5,1990.0,990.4,456.7,1895.9,1354.5,429.6,1300.0,7996.5,244.48,2786.3,1386.0,887.75,720.0,945.4,2354.0,1379.2,4664.9,1298.8,315.75,252.35,1272.0,414.6,4141.4,3374.9,14684.0,1088.4,1288.0,378.95,293.0,298.6,1378.6,2053.4,1197.3,1071.0,1759.9,1145.8,214.34,2623.8,1362.8,4330.0,378.4,3887.6,12622.0,200.36,2073.7,1430.0,7605.0,2283.5,1353.6,9565.0,1927.0,968.0,441.7,1847.9,1313.0,416.0,1221.2,7715.5,234.65,2696.4,1350.0,871.55,703.0,896.1,2290.2,1355.0,4500.0,1273.0,307.0,243.55,1244.7,407.1,3975.4,3283.0,14204.0,1056.5,1261.3,365.0,277.65,289.5,1341.5,1996.5,1179.4,1038.0,1712.0,1110.8,204.5,2580.3,1322.2,4193.0,355.5,3755.0,12325.0,194.7,2124.6,1470.3,7791.5,2307.1,1372.3,9776.0,1941.9,978.25,453.95,1873.2,1351.6,426.25,1294.4,7826.0,242.87,2777.3,1371.0,879.4,707.3,940.0,2320.6,1374.0,4520.4,1288.9,314.9,249.0,1267.3,413.1,4066.7,3334.3,14388.0,1083.6,1279.7,377.55,282.2,296.8,1358.0,2032.2,1189.9,1052.5,1752.5,1125.2,211.01,2613.5,1345.4,4270.3,370.6,3848.5,12521.0,198.57,2134522.0,4207514.0,533503.0,2528308.0,5132511.0,330330.0,1595247.0,8493269.0,35034174.0,11785758.0,1899674.0,7498197.0,1052234.0,494148.0,73388956.0,900872.0,2088938.0,38378924.0,2741633.0,5573300.0,2273224.0,16928683.0,3465274.0,9700361.0,22194311.0,18412891.0,1608917.0,15236666.0,6542141.0,2997529.0,603744.0,3467885.0,1161869.0,14732253.0,65843426.0,15690227.0,23728722.0,1009225.0,16270835.0,6717872.0,3919270.0,1368110.0,30523310.0,3374385.0,1564363.0,770589.0,11804909.0,801444.0,237506.0,10486866.0
2026-03-04 00:00:00+05:30,2104.6,1435.0,7620.0,2260.7,1344.5,9516.5,1909.4,967.0,460.0,1861.1,1348.2,426.0,1274.4,7700.0,237.0,2727.0,1356.0,848.0,691.4,928.0,2292.9,1326.0,4409.5,1292.0,310.6,245.0,1236.0,405.0,3950.0,3240.0,14150.0,1065.6,1259.7,370.75,287.0,296.0,1330.0,1964.0,1172.1,1042.3,1721.2,1114.5,207.0,2625.0,1321.0,4205.0,363.15,3790.3,12175.0,196.01,2104.6,1450.5,7715.0,2290.9,1357.6,9704.5,1909.4,967.0,460.85,1920.0,1348.9,437.9,1299.2,7705.0,244.0,2742.2,1382.0,879.3,707.1,945.5,2311.6,1376.0,4431.0,1317.0,315.5,245.4,1253.9,410.5,3959.0,3278.1,14184.0,1067.8,1270.0,373.85,288.35,296.0,1352.8,1997.2,1182.7,1042.5,1757.2,1118.8,207.0,2635.0,1362.2,4238.3,363.9,3798.0,12500.0,197.12,2037.5,1409.0,7476.0,2216.3,1327.0,9516.5,1860.2,941.3,444.5,1815.3,1311.0,426.0,1272.1,7571.5,236.36,2645.0,1356.0,848.0,681.9,912.0,2252.1,1326.0,4293.0,1292.0,310.5,239.8,1200.0,402.2,3760.0,3207.9,13794.0,1039.5,1240.0,364.1,275.1,288.9,1307.0,1923.6,1157.6,987.4,1721.0,1098.7,194.43,2580.4,1321.0,4083.5,350.1,3721.0,11888.0,194.51,2076.5,1434.4,7666.0,2285.2,1351.3,9652.5,1889.3,945.1,446.85,1905.9,1313.2,435.15,1291.2,7626.5,240.73,2683.2,1364.0,868.65,684.6,921.8,2261.3,1365.4,4392.9,1307.4,311.95,241.3,1213.0,403.35,3882.6,3264.3,14158.0,1053.7,1245.3,365.8,276.95,291.95,1345.0,1930.6,1174.5,1010.0,1750.5,1110.6,196.73,2587.8,1351.2,4204.4,351.2,3756.8,12107.0,195.55,1585848.0,3386838.0,625428.0,1610358.0,5832353.0,319652.0,2209959.0,8964293.0,35193505.0,20565585.0,1938762.0,18921256.0,1890939.0,593728.0,48878958.0,928520.0,3161598.0,39862322.0,5964323.0,7575786.0,2648737.0,20009132.0,2807222.0,15154950.0,24165489.0,13886010.0,1682849.0,18393751.0,7635350.0,4537215.0,710366.0,3349782.0,1112032.0,11433169.0,53722773.0,28191826.0,32495007.0,966848.0,13855065.0,9200897.0,4914857.0,1221984.0,72096617.0,3446434.0,1820421.0,1024050.0,17733124.0,811173.0,394665.0,19562075.0
2026-03-05 00:00:00+05:30,2094.0,1447.2,7700.0,2285.2,1354.9,9674.5,1897.8,958.0,448.8,1919.0,1314.9,440.15,1292.5,7705.0,244.5,2685.0,1378.2,873.85,684.6,930.0,2275.5,1368.9,4389.3,1320.0,312.2,243.5,1214.5,403.6,3924.2,3277.3,14300.0,1054.0,1249.5,366.95,278.0,292.0,1353.1,1947.6,1181.0,1022.3,1750.0,1112.3,198.5,2600.0,1358.0,4238.0,353.1,3765.0,12107.0,196.4,2100.0,1505.5,7796.5,2313.0,1355.8,9853.0,1917.9,968.25,467.9,1929.1,1332.1,458.5,1322.1,7801.5,244.5,2731.9,1378.2,881.4,693.0,983.5,2277.8,1370.8,4558.9,1320.0,313.6,244.25,1253.4,410.05,4072.9,3360.6,14570.0,1063.7,1254.4,379.9,287.65,300.1,1399.0,1951.1,1183.2,1046.4,1794.9,1123.7,203.04,2609.5,1366.7,4302.5,357.15,3804.8,12330.0,196.97,2040.0,1447.2,7635.0,2253.7,1335.3,9641.0,1878.9,945.9,445.85,1897.2,1314.9,440.0,1292.5,7615.0,234.0,2656.8,1332.5,863.5,670.95,926.4,2228.4,1347.6,4318.0,1290.1,308.2,237.75,1214.5,402.35,3908.9,3276.2,14081.0,1033.6,1222.7,366.6,275.35,291.9,1353.1,1898.0,1150.6,1018.3,1748.0,1095.8,197.63,2546.4,1319.3,4173.2,347.95,3713.5,12030.0,193.22,2089.2,1499.3,7775.0,2287.8,1349.1,9804.5,1911.8,962.4,460.0,1907.0,1326.4,449.4,1313.5,7755.0,240.14,2724.1,1354.1,877.75,684.3,954.95,2255.0,1357.6,4512.8,1305.8,311.5,243.1,1248.1,407.3,4038.7,3348.0,14415.0,1058.2,1250.9,378.05,276.35,299.45,1389.4,1945.0,1169.5,1039.5,1784.5,1119.1,200.57,2578.8,1333.3,4275.2,355.15,3790.9,12288.0,195.68,1231524.0,3236481.0,446578.0,925040.0,6057499.0,300749.0,1515601.0,6181254.0,38023711.0,11398717.0,1184085.0,30106255.0,1060509.0,568151.0,44324401.0,1101224.0,2217963.0,31324582.0,5413365.0,16533658.0,1751288.0,17590491.0,2629784.0,10362147.0,19938009.0,13760060.0,1696077.0,14963265.0,4996312.0,2304760.0,448650.0,2962063.0,935711.0,16158714.0,40569479.0,19467441.0,25957532.0,1955176.0,22100665.0,5051614.0,3600895.0,1368338.0,41033397.0,2960636.0,1210010.0,691367.0,10574236.0,715303.0,284992.0,13149281.0
2026-03-06 00:00:00+05:30,2079.1,1489.0,7770.0,2261.7,1347.0,9780.0,1908.9,960.0,462.0,1900.0,1326.1,451.15,1313.5,7733.0,240.63,2701.5,1356.0,868.05,677.6,955.0,2245.1,1339.0,4424.7,1303.0,310.05,242.2,1240.7,403.7,4015.0,3315.0,14339.0,1048.6,1250.0,377.0,279.95,299.95,1396.5,1930.0,1168.5,1043.9,1784.5,1119.1,199.5,2572.0,1330.0,4250.0,354.0,3785.0,12160.0,195.6,2090.0,1497.8,7781.0,2307.9,1347.9,9884.5,1908.9,961.5,473.45,1902.1,1332.7,451.6,1316.4,7735.0,242.9,2759.4,1380.8,871.7,679.2,971.65,2250.0,1357.6,4465.0,1327.2,312.3,243.45,1249.1,406.7,4015.0,3367.0,14466.0,1049.5,1264.1,385.55,280.95,302.75,1424.3,1962.9,1169.3,1052.0,1805.6,1128.7,202.2,2619.2,1359.5,4302.0,354.35,3829.0,12208.0,198.93,2030.2,1470.0,7669.0,2253.7,1313.5,9690.0,1865.0,946.6,460.35,1867.1,1315.0,438.6,1290.8,7603.0,231.58,2687.2,1354.2,855.1,667.95,943.15,2219.5,1310.4,4375.5,1303.0,309.2,238.9,1229.2,399.0,3941.0,3315.0,14115.0,1030.0,1234.2,374.65,271.15,297.0,1390.3,1924.8,1138.0,1000.0,1771.8,1112.1,197.1,2553.6,1326.6,4227.0,349.35,3715.8,11948.0,195.0,2039.9,1477.5,7724.5,2279.5,1315.8,9816.0,1868.9,950.2,468.45,1870.8,1321.2,440.45,1303.8,7620.5,232.57,2718.4,1356.7,857.05,668.55,958.9,2225.7,1313.4,4404.1,1308.4,309.7,239.35,1233.7,399.8,3949.8,3332.5,14159.0,1042.0,1257.9,380.6,278.95,299.15,1404.8,1946.0,1143.0,1007.5,1799.4,1116.7,198.46,2557.6,1335.6,4244.6,350.75,3722.8,11987.0,195.4,1696027.0,2576061.0,225749.0,979742.0,11629935.0,386552.0,2267317.0,6560051.0,28154230.0,10896859.0,695774.0,10553695.0,963701.0,366235.0,44605775.0,1457401.0,1871596.0,34439647.0,2997163.0,8295000.0,1674258.0,22778852.0,1640372.0,8724291.0,21288269.0,12566465.0,1140348.0,17512726.0,2379314.0,2084605.0,390629.0,3185920.0,830769.0,14940896.0,30725344.0,15887540.0,19311971.0,858666.0,20333328.0,8166989.0,3669921.0,919798.0,28551376.0,3998643.0,1033627.0,580562.0,6929668.0,365100.0,296585.0,9022914.0
2026-03-09 00:00:00+05:30,1985.0,1405.0,7588.0,2200.0,1282.2,9600.0,1839.1,921.8,470.0,1831.0,1309.0,439.0,1285.5,7517.0,226.5,2659.0,1330.0,825.0,655.0,940.0,2199.0,1272.7,4199.9,1290.0,305.0,233.95,1203.0,390.0,3850.0,3250.0,13800.0,1036.8,1227.0,373.0,289.0,285.5,1375.0,1900.0,1115.0,957.5,1772.9,1086.7,193.45,2530.0,1305.0,4160.0,342.0,3608.9,11766.0,194.0,2006.0,1436.1,7809.0,2230.0,1291.0,9645.5,1844.6,941.1,470.0,1872.4,1329.8,447.2,1294.9,7517.0,230.86,2692.8,1372.7,842.45,659.9,956.25,2200.0,1282.7,4255.5,1318.0,307.2,233.95,1213.0,393.85,3852.0,3250.0,13800.0,1050.9,1242.6,379.0,289.0,296.25,1429.4,1926.1,1115.0,993.0,1815.0,1106.9,193.7,2560.0,1340.4,4199.7,342.9,3701.5,11808.0,199.5,1940.4,1405.0,7556.0,2162.6,1260.8,9351.0,1802.0,909.05,450.0,1818.1,1292.7,434.8,1273.6,7237.0,219.8,2631.0,1328.0,821.5,642.1,925.25,2170.4,1251.1,4035.0,1282.5,303.6,226.3,1170.2,385.1,3743.0,3142.9,13365.0,1013.8,1217.4,371.4,267.6,285.5,1370.0,1890.0,1064.3,934.2,1770.0,1082.5,187.03,2505.0,1304.1,4112.7,328.65,3580.0,11329.0,193.03,1999.2,1421.3,7779.0,2220.8,1288.3,9383.0,1841.5,938.05,457.35,1866.7,1325.0,437.65,1287.0,7266.0,229.56,2668.1,1358.6,840.7,653.75,945.35,2194.6,1278.4,4236.7,1315.0,306.0,232.25,1192.6,386.35,3842.1,3187.6,13508.0,1041.5,1235.8,376.25,270.8,295.2,1424.0,1912.5,1098.5,987.2,1807.4,1099.0,191.01,2527.4,1336.3,4159.2,332.0,3689.4,11378.0,198.75,1305447.0,4874245.0,358612.0,2198153.0,7926265.0,334501.0,1009617.0,9182152.0,21898419.0,8073518.0,1674811.0,15824576.0,1597730.0,554984.0,48505614.0,1019315.0,2256550.0,35592613.0,4330230.0,7016889.0,1512817.0,16116652.0,4271926.0,10068514.0,14084931.0,19524751.0,2145649.0,20275976.0,4248784.0,3961149.0,676224.0,2449582.0,1467475.0,11286578.0,56512457.0,21591866.0,24870822.0,1617012.0,24631198.0,11999852.0,4112775.0,1007371.0,43019565.0,3653428.0,1032250.0,576017.0,17240937.0,956936.0,590742.0,25862728.0
2026-03-10 00:00:00+05:30,2030.0,1450.0,7865.0,2251.6,1295.2,9449.5,1845.1,950.0,465.0,1880.8,1323.0,444.8,1288.0,7380.0,232.0,2701.0,1361.0,850.05,653.95,956.0,2224.0,1287.6,4410.0,1320.0,309.0,236.95,1196.1,390.5,3936.0,3278.0,13721.0,1051.1,1236.9,385.0,270.85,298.15,1430.6,1933.3,1111.1,1010.0,1810.0,1102.4,194.01,2541.0,1340.0,4175.1,338.0,3749.9,11606.0,200.5,2030.0,1470.3,7870.0,2305.1,1319.5,9637.5,1873.8,952.15,465.8,1881.0,1340.3,444.9,1329.6,7566.5,233.23,2753.0,1364.4,856.8,661.6,959.75,2224.0,1315.0,4473.7,1321.0,310.0,237.55,1219.9,394.25,3972.0,3309.4,13909.0,1055.0,1249.5,385.45,270.9,300.05,1431.5,1974.8,1119.9,1068.3,1825.1,1111.0,196.64,2545.2,1347.9,4242.9,345.8,3749.9,11759.0,201.31,1982.2,1416.5,7770.0,2251.6,1284.6,9349.0,1840.4,931.85,453.55,1846.5,1317.5,433.75,1288.0,7338.5,224.86,2694.2,1345.0,840.6,653.4,933.35,2175.0,1285.6,4341.6,1284.1,303.75,231.35,1195.2,387.5,3851.0,3228.9,13505.0,1037.0,1233.5,374.85,265.35,293.75,1400.6,1926.5,1104.5,1006.7,1803.3,1096.0,192.0,2490.1,1316.7,4175.1,334.25,3690.0,11531.0,197.42,1996.5,1424.1,7803.0,2280.4,1314.7,9610.0,1867.8,939.8,463.35,1850.4,1333.5,443.55,1314.6,7536.5,226.62,2743.9,1361.5,849.45,656.1,956.6,2190.2,1311.9,4380.4,1295.6,309.05,236.0,1214.3,391.85,3876.0,3293.7,13867.0,1043.1,1241.2,377.3,269.2,298.65,1408.8,1963.7,1112.2,1062.9,1812.8,1099.5,195.0,2513.1,1336.6,4220.1,345.2,3715.3,11654.0,200.93,1680405.0,2706284.0,381453.0,1192174.0,6289277.0,463535.0,885047.0,8474956.0,19398151.0,11741600.0,1050270.0,10860312.0,2329349.0,494730.0,47196661.0,1035360.0,1671877.0,52866024.0,3547812.0,4839199.0,1084986.0,19136143.0,2579968.0,9600171.0,18352950.0,23126145.0,1131600.0,21346381.0,3330102.0,2672336.0,353715.0,2366935.0,1301806.0,10875834.0,18476370.0,14627316.0,18071259.0,587710.0,17491459.0,14297519.0,3298680.0,1165119.0,25783308.0,4323710.0,1069187.0,788850.0,13770080.0,726096.0,460885.0,12982340.0
2026-03-11 00:00:00+05:30,2006.6,1425.0,7770.5,2290.0,1310.0,9575.0,1861.0,932.2,463.5,1841.0,1325.0,447.0,1311.1,7574.0,226.6,2726.6,1367.2,845.0,654.0,959.95,2190.2,1300.0,4366.0,1288.0,309.05,237.9,1212.0,388.85,3879.7,3276.0,13850.0,1037.1,1237.1,377.5,268.0,298.65,1424.9,1985.0,1113.4,1062.9,1823.0,1102.0,197.14,2508.1,1343.9,4192.0,344.8,3715.0,11650.0,202.69,2027.4,1454.9,7798.5,2302.0,1317.5,9666.0,1874.8,941.25,469.8,1847.7,1338.1,453.9,1336.0,7574.0,227.93,2762.8,1376.0,848.85,657.5,978.9,2195.0,1306.5,4512.9,1299.5,310.65,242.8,1222.9,391.1,3896.7,3292.9,13948.0,1047.4,1245.9,383.9,272.4,302.9,1434.0,1985.0,1115.9,1077.9,1843.0,1102.1,198.88,2521.0,1355.4,4234.9,347.0,3727.1,11663.0,205.95,1970.0,1405.7,7659.0,2226.0,1252.7,9270.0,1791.0,890.0,453.25,1799.5,1324.9,445.15,1311.1,7227.0,223.05,2714.8,1346.9,827.6,645.9,952.5,2156.0,1290.9,4338.7,1271.3,307.7,237.5,1171.0,379.95,3832.0,3156.0,13441.0,1024.1,1226.1,376.45,268.0,298.05,1383.6,1927.3,1088.0,1028.7,1818.1,1070.2,194.0,2460.1,1330.2,4126.2,334.65,3608.7,11430.0,201.58,1974.7,1410.8,7700.5,2232.0,1255.8,9327.5,1795.3,893.65,454.1,1807.0,1329.5,446.75,1325.5,7253.5,223.8,2735.6,1350.3,833.95,647.9,959.1,2161.4,1294.6,4350.7,1276.3,309.0,238.7,1178.8,383.2,3838.8,3168.2,13497.0,1032.2,1233.7,379.9,270.75,298.8,1390.2,1938.6,1091.1,1031.7,1825.9,1073.4,194.74,2464.9,1334.4,4140.3,335.35,3627.4,11462.0,202.23,1088294.0,2212011.0,331690.0,687786.0,6859908.0,489382.0,1298364.0,11172537.0,16015126.0,9548404.0,1268130.0,9975869.0,2454389.0,621563.0,34327861.0,1492588.0,1837000.0,42261076.0,1336810.0,4456510.0,1313256.0,13224259.0,2647380.0,7868891.0,14842485.0,16495797.0,1802500.0,29991868.0,2066473.0,4574950.0,392182.0,1963010.0,1472136.0,9963701.0,16130216.0,12618289.0,21848087.0,829640.0,8364878.0,10731059.0,2510495.0,1066872.0,34207226.0,2720664.0,1499971.0,454575.0,5949596.0,684748.0,231139.0,29199002.0
2026-03-12 00:00:00+05:30,1960.0,1402.5,7590.0,2208.0,1243.2,9280.0,1786.9,880.1,452.0,1797.9,1325.1,446.75,1321.0,7175.0,220.25,2711.2,1350.0,820.1,644.6,968.0,2165.1,1275.7,4263.6,1272.5,307.05,237.4,1175.0,377.0,3825.0,3115.1,13430.0,1022.1,1225.0,379.0,271.6,295.8,1390.0,1925.0,1075.1,1021.1,1828.0,1070.5,193.99,2459.8,1334.4,4100.0,332.5,3603.0,11401.0,201.06,2026.0,1418.6,7662.5,2249.9,1251.1,9280.0,1794.4,888.2,455.0,1817.8,1341.7,474.0,1337.3,7227.5,223.85,2727.4,1363.4,836.4,649.35,972.0,2165.1,1280.5,4297.5,1278.6,308.0,245.4,1182.5,380.15,3830.0,3142.8,13430.0,1031.6,1229.9,392.4,273.0,304.9,1410.9,1948.1,1098.0,1046.7,1833.6,1072.8,194.66,2472.9,1356.5,4179.0,333.0,3603.1,11405.0,203.8,1947.1,1375.3,7542.5,2201.0,1231.8,9080.0,1763.1,858.35,448.5,1791.0,1319.0,445.0,1303.6,6961.0,213.06,2660.6,1341.0,820.1,636.1,934.45,2109.3,1258.3,4194.1,1258.0,302.85,234.0,1150.0,374.05,3704.9,3020.0,12966.0,1008.8,1209.3,375.65,267.75,295.1,1381.1,1907.0,1070.5,1006.1,1808.4,1051.4,190.1,2436.0,1327.0,4033.8,323.35,3502.5,11059.0,199.7,2002.0,1391.5,7574.5,2221.2,1234.5,9162.0,1770.8,863.1,453.55,1801.3,1324.3,470.1,1319.0,6975.5,221.17,2673.1,1358.1,832.75,645.7,969.75,2136.9,1266.5,4251.7,1265.8,304.1,242.2,1172.6,375.3,3719.5,3031.2,13011.0,1020.4,1220.8,390.55,270.55,303.6,1392.2,1939.4,1085.2,1031.7,1825.3,1057.8,193.47,2442.4,1349.8,4129.6,324.55,3533.6,11089.0,202.51,1473773.0,2699173.0,550020.0,1384055.0,9663320.0,390062.0,1095963.0,15508258.0,14089623.0,12922735.0,1405268.0,27328045.0,1969692.0,1259945.0,65732459.0,952036.0,2616965.0,46107561.0,3339906.0,4664967.0,1791973.0,19676187.0,1595719.0,7599940.0,23319679.0,18865160.0,1265744.0,25048123.0,4255443.0,6968585.0,544683.0,5744427.0,1358564.0,23847146.0,20059801.0,15284297.0,20939959.0,868643.0,14613840.0,7054662.0,2606057.0,961388.0,24413736.0,2752075.0,3067753.0,1071366.0,9707654.0,989163.0,535730.0,19042475.0
